simulation id,uranium,neptunium,plutonium,americium,curium,pu238,pu239,pu240,pu241,pu242,am241
1,65.92063501,0.007205311,3.32349395,0.19759817,0.072939614,0.306252612,1.481333528,0.852764277,0.313035322,0.370108211,0.063330495
3,65.10179886,0.006573815,4.075599008,0.255199319,0.080541751,0.420398066,1.48331766,1.081102691,0.54922199,0.541558601,0.082164278
4,66.58891783,0.007894884,2.805423096,0.09034047,0.030130126,0.247834896,1.266138918,0.811115082,0.347988442,0.132345758,0.052005637
5,66.15956525,0.007836333,3.037247708,0.239472725,0.078255522,0.185396499,1.191220021,0.823765875,0.49575577,0.341109543,0.131074744
6,64.52746645,0.006158033,4.583252179,0.310382072,0.093634046,0.475054576,1.747135447,1.17268291,0.49093465,0.697444597,0.089434558
7,64.56255084,0.006076488,4.464809631,0.373743303,0.117593092,0.286232522,1.678312376,1.078342081,0.50139648,0.920526171,0.078950989
8,64.67207422,0.006138832,4.455990449,0.299569308,0.090425289,0.285780226,1.641020264,1.253556766,0.580197686,0.695435507,0.082427031
9,65.73756745,0.00690829,3.600134122,0.14202851,0.039024348,0.115842758,1.270967768,1.251372284,0.678524429,0.283426883,0.067373021
10,63.61221005,0.005301341,5.392631235,0.402696848,0.112898282,0.231923567,1.913157061,1.451192401,0.642341923,1.154016283,0.066514858
11,67.00029928,0.00859939,2.3594534,0.113932327,0.039886018,0.153759521,1.07747908,0.632707692,0.345505565,0.150001542,0.072321921
12,64.49645019,0.006344353,4.632262872,0.310827844,0.078083731,0.276543847,1.500218636,1.47469359,0.818963654,0.561843145,0.153485813
13,66.35363352,0.007653806,2.93506311,0.170602634,0.058849233,0.09125447,1.144365829,0.870600215,0.509929862,0.318912733,0.070082502
14,65.72800443,0.006927965,3.479339645,0.232679237,0.079352975,0.084503344,1.36563236,1.027162782,0.514461715,0.487579444,0.070600774
15,63.09276611,0.005946586,5.912217323,0.432068871,0.085688151,0.179319057,2.252682617,2.057182194,0.752191142,0.670842313,0.255231152
16,63.96723861,0.005622067,5.307244868,0.196627491,0.045704543,0.454701215,1.798579438,1.834172957,0.801004982,0.418786276,0.087513333
17,66.24519019,0.007355836,3.103690681,0.129495086,0.042425476,0.060641112,1.292984458,1.025194347,0.482642323,0.242228441,0.05565283
18,66.01082445,0.007114048,3.388473085,0.093251024,0.026658356,0.19907491,1.395322619,1.138835437,0.489030307,0.166209812,0.049134648
19,65.72281335,0.006950959,3.410434588,0.284750664,0.101212437,0.05699179,1.290020213,0.913977792,0.522754042,0.626690751,0.071244396
20,64.08804225,0.006647774,4.881665606,0.431384701,0.107770482,0.635262899,1.59323377,1.221989797,0.725916038,0.705263102,0.226277795
21,64.7906214,0.006293387,4.263917553,0.354622901,0.110212761,0.179547586,1.64408013,1.124528279,0.511593149,0.80416841,0.095926223
22,62.50759085,0.004599442,6.659560927,0.284672258,0.067626903,0.460462049,2.345769466,2.186234687,0.771282778,0.895811947,0.052842105
23,65.03745731,0.006842865,3.954068208,0.398363735,0.125800613,0.288351176,1.520107763,0.897582172,0.472397443,0.775629654,0.141285918
24,65.48395454,0.006688783,3.665416143,0.270961832,0.097690791,0.203814505,1.606094767,0.926100469,0.326582669,0.602823734,0.057299249
25,65.7328234,0.007532674,3.499285144,0.223069387,0.057718679,0.27856728,1.161051659,1.078966219,0.704413843,0.276286143,0.155664968
26,63.7832503,0.00673406,4.935307782,0.629060597,0.162821885,0.493527333,1.617473642,0.956203115,0.677439677,1.190664015,0.275214777
27,65.94658226,0.007360814,3.378526616,0.148241184,0.041303044,0.257499767,1.298769516,1.063362774,0.547221226,0.211673334,0.092710522
28,63.40864661,0.005381701,5.721881697,0.304020582,0.077397436,0.621693992,1.983079771,1.6595344,0.694434125,0.763139409,0.090116749
29,66.0649651,0.007568706,3.220321587,0.171637965,0.055751008,0.357719238,1.275366325,0.864766927,0.454824461,0.267644636,0.088499256
30,65.52801213,0.006764402,3.595140837,0.290335683,0.103829729,0.191785788,1.236926764,0.890740662,0.57875135,0.696936273,0.055971025
32,65.97531874,0.00720057,3.364568516,0.137626697,0.041299717,0.152878733,1.415331271,1.112309581,0.474157152,0.209891779,0.075631634
33,65.2911113,0.006781706,3.80271527,0.32212961,0.101802481,0.130958997,1.313160446,1.049823785,0.643956998,0.664815044,0.109847264
34,64.82349583,0.006517398,4.195129887,0.375508435,0.119167474,0.405496073,1.419634207,0.944752587,0.592515648,0.832731372,0.107060645
35,64.00068896,0.006140728,5.185509932,0.269246096,0.058071816,0.541970712,1.764729674,1.704088236,0.789024499,0.385696811,0.169513693
36,65.92019524,0.007311746,3.267808193,0.242130191,0.085612205,0.203328881,1.345599803,0.851059901,0.421341782,0.446477826,0.087351825
37,65.67842721,0.007122581,3.647008894,0.149735425,0.038699281,0.352982023,1.261525214,1.140827877,0.650730672,0.240943108,0.090979733
39,64.27306104,0.00686088,4.623421789,0.481303212,0.129717676,0.645142015,1.520394625,0.979680298,0.651815424,0.826389426,0.229768301
40,65.98392356,0.007379541,3.15370857,0.27258554,0.104973678,0.253881392,1.328364154,0.68736776,0.343480694,0.540614571,0.074153954
41,64.66042794,0.005852241,4.544472288,0.240278793,0.075398723,0.246739862,1.759637867,1.366933798,0.533601562,0.6375592,0.040666316
42,62.39126761,0.006220851,6.41643228,0.585066361,0.115161012,0.79504273,2.153165269,1.69559036,0.817469107,0.955164814,0.336370938
43,65.04215811,0.006490374,4.016858819,0.349547544,0.112643345,0.150969564,1.550132694,1.038517289,0.502529443,0.77470983,0.094964405
44,66.17393513,0.007800064,2.990219355,0.256449561,0.093080786,0.247239769,1.299008568,0.698890304,0.34931425,0.395766465,0.114487612
45,65.41219911,0.007163354,3.595134304,0.382159666,0.126992334,0.24290724,1.355448745,0.794023308,0.48572784,0.71702717,0.139109174
46,66.15311727,0.007451841,3.247651598,0.089057801,0.02410855,0.349030376,1.349544161,0.990962789,0.437757696,0.120356576,0.06136347
47,66.39152813,0.007557801,2.993104061,0.105194643,0.029253103,0.049985949,1.105974078,1.019745144,0.598734893,0.218663998,0.052005637
48,65.97684056,0.007333317,3.282385821,0.196291861,0.061588475,0.120972757,1.188327492,1.012495543,0.604279181,0.356310848,0.08944661
49,64.60567012,0.006146655,4.47441291,0.343394109,0.099672156,0.1059565,1.743430141,1.312201714,0.554260061,0.758564494,0.107807922
51,65.62438087,0.00736437,3.625132992,0.207271944,0.056624382,0.397069068,1.411482534,1.059785984,0.521163072,0.235632334,0.140970134
52,66.69738987,0.008031423,2.624731344,0.136462033,0.055132435,0.193016512,1.198415486,0.67378076,0.314337024,0.245181561,0.048353624
53,66.52238718,0.00809993,2.778783508,0.163533262,0.051194241,0.136146128,1.176996427,0.828230861,0.447134774,0.190275318,0.110888631
54,63.81421274,0.005571339,5.242759323,0.360397079,0.098566234,0.40104452,1.608915581,1.457457784,0.829955808,0.94538563,0.088713797
56,66.6689823,0.008038772,2.640455353,0.152175611,0.056272047,0.097353337,1.164972112,0.744884459,0.385183382,0.248062063,0.069576282
57,65.27441521,0.007104092,3.725645313,0.394510234,0.121898186,0.149350817,1.267310273,0.940455638,0.645837235,0.72269135,0.162773739
58,64.46472679,0.006165144,4.550874143,0.384870474,0.114403227,0.363503877,1.348229375,1.133554271,0.78765048,0.91793614,0.105633588
60,66.31140434,0.007526511,3.046348357,0.116025499,0.041381708,0.280923985,1.266664832,0.855308839,0.409023821,0.23442688,0.040818182
61,64.13854984,0.006106356,5.051650846,0.259785228,0.062710339,0.545612892,1.898455363,1.573691447,0.608738717,0.425152428,0.138287169
62,64.28097708,0.006556511,4.745579199,0.385032992,0.101188144,0.527449601,1.944472873,1.218004917,0.428501146,0.627150663,0.189497318
63,66.39663652,0.007771856,2.860223638,0.184387188,0.072343234,0.245025894,1.271421967,0.696393753,0.321110698,0.326271326,0.064882902
64,62.24794432,0.005990677,6.531279608,0.625958116,0.116153427,0.169094767,2.038587646,2.105936958,1.102324982,1.115335254,0.351388789
65,66.73531329,0.008029053,2.682039355,0.073012134,0.022708792,0.207678073,1.160262787,0.78614957,0.391788317,0.136160608,0.038489571
66,65.60768674,0.007343273,3.620966705,0.219653133,0.064284938,0.43096753,1.435531165,0.997780295,0.474325891,0.282361824,0.132827228
67,65.18414727,0.006497249,3.967813553,0.276958106,0.088409019,0.206575897,1.26035386,1.120807457,0.721094918,0.658981422,0.071704815
68,65.00485719,0.00710741,4.060806902,0.344344693,0.099243452,0.53906649,1.54014032,0.96858985,0.496093248,0.516916995,0.179127046
69,62.31224702,0.004941977,6.664167747,0.448719944,0.099505559,0.221708799,2.481837864,2.049404477,0.694361808,1.216854799,0.134285623
70,65.53321771,0.006950484,3.663101121,0.241199349,0.076899202,0.260023107,1.247134284,1.028074983,0.635351299,0.492517447,0.08749887
72,66.6827252,0.008088078,2.594261445,0.173594518,0.066406659,0.084453353,1.084602829,0.693993223,0.418810694,0.312401345,0.067775586
73,65.64476693,0.00718208,3.502784401,0.283707044,0.088034809,0.095391797,1.230018161,1.029107211,0.642872246,0.505394986,0.125737742
74,63.68808753,0.006069377,5.179419545,0.522813914,0.130470517,0.193295031,1.579775142,1.391587241,0.888098515,1.126663616,0.204228312
75,66.49868946,0.007901995,2.848682876,0.125629049,0.041858927,0.236022805,1.223085653,0.807610308,0.397091549,0.184872561,0.070526046
76,65.47924036,0.007160272,3.734122673,0.228998013,0.068460793,0.45351096,1.371034936,1.004501779,0.542906323,0.362168676,0.117944369
77,64.10819886,0.005700767,4.89230274,0.409128925,0.114042,0.039142726,1.402828852,1.441590281,0.939009542,1.069731339,0.099281736
78,66.80420744,0.008082626,2.581631419,0.099344244,0.033536491,0.062426494,1.177498436,0.807202218,0.382387133,0.152117137,0.055884244
79,63.56473051,0.005629416,5.364534623,0.453375959,0.127891417,0.6105294,1.797169031,1.157295513,0.616307875,1.183232804,0.101441607
81,63.9686753,0.005884717,5.043994992,0.398330455,0.106756527,0.339079844,1.576356698,1.386042017,0.812937254,0.929579178,0.129013706
82,65.89663805,0.007527696,3.306945189,0.233674029,0.075806349,0.311965836,1.309168278,0.867311489,0.465093446,0.35340614,0.118747089
83,66.83728248,0.008308769,2.555472142,0.089008684,0.030795209,0.269807003,1.174079993,0.674620946,0.313734384,0.123229816,0.05425711
84,65.74915129,0.007277611,3.340889342,0.315019866,0.110772805,0.191500127,1.32848368,0.787565882,0.438770131,0.594569522,0.107930861
85,64.94310868,0.006448417,4.244972752,0.257120715,0.073964125,0.261094337,1.628207077,1.296118163,0.567108346,0.49244483,0.105047819
86,64.91622245,0.006528539,4.129839312,0.364797766,0.108547243,0.106992022,1.433021119,1.159215937,0.670666003,0.759944231,0.127897612
87,64.62697008,0.006515264,4.322244299,0.436524895,0.132723573,0.295040409,1.80787856,0.958867703,0.358763645,0.901693981,0.141203959
88,64.3227596,0.005991151,4.673113762,0.400929552,0.120948109,0.288851083,1.794276502,1.132378012,0.48249769,0.975110476,0.094103832
89,66.1550826,0.007441411,3.174898435,0.141658901,0.044901108,0.194613834,1.2807689,0.975767434,0.484811827,0.238936439,0.070552563
90,67.07380922,0.008452421,2.327698939,0.085629246,0.030282379,0.061674253,1.104300714,0.689552243,0.337574822,0.134596907,0.047697949
91,63.03017228,0.005967683,5.789523068,0.56466425,0.131553405,0.471317175,1.963979516,1.428819461,0.733726253,1.191680663,0.235054681
92,66.30891854,0.007421262,2.987318723,0.156803699,0.063570111,0.203286032,1.302116244,0.787229808,0.348687504,0.345999135,0.03083119
94,65.41008262,0.006443202,3.719443559,0.280042876,0.108436553,0.251715127,1.609919599,0.840857648,0.287772653,0.729178532,0.017246905
95,64.54360511,0.005998263,4.508141175,0.359853323,0.109458629,0.141078545,1.700352971,1.227919106,0.554621645,0.884168909,0.08263675
96,65.50980496,0.006982249,3.663066623,0.259816212,0.083883162,0.26890241,1.361090372,0.993483346,0.542110838,0.497479657,0.098469374
97,66.55014954,0.007907684,2.710271123,0.182861034,0.07244468,0.153126306,1.141975309,0.679974128,0.386460979,0.348734401,0.059056554
98,64.17402305,0.006246215,5.01303227,0.263015405,0.060530436,0.607577567,1.718473112,1.558904182,0.730640736,0.397436672,0.155990395
99,66.73597356,0.008112494,2.665476032,0.083758901,0.029432973,0.277115169,1.287749219,0.73338592,0.27157369,0.095652034,0.054558431
100,65.39634237,0.006891934,3.761018147,0.272512845,0.086937813,0.242050257,1.550467367,1.034556414,0.440240573,0.493703536,0.107598203
102,64.90482378,0.006191457,4.233813351,0.284115535,0.095366735,0.332247781,1.703747509,1.080502558,0.414158314,0.703157189,0.050173604
103,65.11325955,0.006381806,3.957345651,0.32779097,0.117208552,0.312299107,1.573583695,0.869712019,0.383833469,0.817917361,0.045890021
104,66.43223756,0.007810969,2.953789346,0.097803402,0.029468059,0.316036508,1.205634857,0.841265739,0.433225843,0.1576264,0.057504147
105,64.82453017,0.006340086,4.499756682,0.155240972,0.03466308,0.437014026,1.516904466,1.537347423,0.756192672,0.252298096,0.096420389
106,65.40983728,0.007182791,3.580953907,0.39424838,0.131738426,0.239550721,1.376055028,0.767617478,0.459934848,0.737795832,0.142189882
107,66.74491671,0.008034031,2.55895664,0.151416897,0.062259973,0.094346753,1.226814864,0.685399326,0.292593773,0.259801925,0.054363175
109,65.06878625,0.00655817,4.022421409,0.320841664,0.105518502,0.294373867,1.727628804,0.987313984,0.339575587,0.673529168,0.0911774
110,63.67888009,0.006013671,5.191625742,0.513491699,0.134630805,0.318583653,1.876414769,1.245611012,0.60264,1.148376308,0.17580287
111,63.92080835,0.005858404,5.029964664,0.443963305,0.12203486,0.316417389,1.503660985,1.290500923,0.83706696,1.082318407,0.127442015
112,65.78979691,0.007536941,3.433544613,0.226532243,0.063190428,0.288494007,1.199515126,1.009470876,0.634531709,0.301532896,0.144569115
113,62.83326856,0.005593859,6.158695364,0.428410127,0.092447342,0.560086393,1.999407023,1.842814865,0.876768883,0.8796182,0.197278638
114,63.87158044,0.006012723,5.171504814,0.386258885,0.091304958,0.215652781,1.629976062,1.663279226,0.909865872,0.752730872,0.180125022
115,65.63817159,0.006917061,3.597807052,0.211891979,0.069497931,0.194654303,1.434622768,1.063050705,0.492284563,0.413194713,0.076687463
116,66.40422494,0.007847948,2.909929645,0.148022593,0.051826666,0.274448998,1.317080899,0.786701692,0.332536752,0.199161304,0.081166302
117,66.42064378,0.007984014,2.896096763,0.144555721,0.049626314,0.369145686,1.264106976,0.731585523,0.343914595,0.187343984,0.084888223
118,65.57432348,0.006959255,3.658738775,0.210302147,0.070920623,0.388475427,1.50124656,0.964797012,0.406516838,0.397702937,0.075450841
119,66.36069124,0.007550927,2.855691546,0.215094809,0.086924263,0.0800994,1.230328928,0.726928495,0.370912867,0.447421856,0.050332702
120,66.13580711,0.007777782,3.117408278,0.196024916,0.062301536,0.316417389,1.173817036,0.829335104,0.508989744,0.288849005,0.109760484
122,65.82536748,0.007177339,3.333628506,0.257886126,0.097667004,0.314013074,1.439714575,0.747525042,0.312336259,0.520039556,0.067339273
123,63.77688441,0.006326811,5.183347515,0.452373212,0.105115211,0.312346717,1.837927397,1.528297425,0.734931533,0.769844444,0.235131819
125,65.02377473,0.006443202,4.211554468,0.224709673,0.060430065,0.155133076,1.536052531,1.428699435,0.678837802,0.412831625,0.105691442
126,66.33244902,0.00773701,2.868919738,0.227738793,0.087313151,0.148608098,1.236663806,0.709140567,0.368646941,0.405860325,0.080966225
127,63.05103823,0.005353729,5.838278148,0.512272191,0.124104888,0.07757606,1.903284214,1.66596782,0.856833552,1.334616502,0.149595153
128,65.06852881,0.00637185,4.232919931,0.171869891,0.044981934,0.2725922,1.371584755,1.435204871,0.783938218,0.369599887,0.073896023
129,66.96017268,0.008254723,2.453877799,0.078058087,0.025369846,0.062286044,1.110635592,0.759311644,0.383929891,0.137714627,0.042380231
130,65.96019454,0.007171413,3.230992405,0.235829819,0.089152687,0.172786938,1.309861529,0.819156857,0.420015974,0.509171107,0.05539972
131,64.07893172,0.006371139,4.952670483,0.392215273,0.095087941,0.304538644,1.950903372,1.485375948,0.57393023,0.637922289,0.204370535
132,65.39068828,0.007378119,3.555421055,0.423103088,0.143098713,0.383833432,1.308785795,0.640245356,0.456391325,0.766165147,0.159485722
133,66.88388665,0.008168674,2.524827391,0.083367481,0.024378328,0.028982709,1.020728135,0.807874366,0.487680394,0.179561787,0.040275804
134,64.95679719,0.007003583,4.019682798,0.405578735,0.128054537,0.547945792,1.474066348,0.780772383,0.466587994,0.750310282,0.156255558
136,64.73558194,0.006245741,4.35038636,0.330085676,0.099782578,0.270640182,1.362787642,1.185909831,0.750142166,0.78090654,0.091035176
137,62.3699668,0.005624438,6.564355029,0.478402206,0.099577974,0.734101674,2.428290216,1.814536622,0.639063562,0.948362956,0.227789223
138,66.75196921,0.007870468,2.621100534,0.106071643,0.040986618,0.036697942,1.195642483,0.803913492,0.370430755,0.214415862,0.034208399
139,66.15753081,0.007149605,3.173906806,0.133705666,0.052061714,0.169561347,1.391378261,0.932125799,0.37182888,0.309012519,0.024701111
140,62.99493801,0.006074118,5.845901832,0.560832389,0.121704827,0.193806841,2.378376158,1.666519942,0.546907853,1.060291038,0.269839206
141,66.04314526,0.0074471,3.226562238,0.184662114,0.060549275,0.249596474,1.171761188,0.905671958,0.554356483,0.345176134,0.078762964
142,62.89203259,0.005786816,5.911245108,0.579013402,0.134860233,0.406638718,1.906607036,1.47229306,0.816239722,1.309466572,0.222003855
143,66.98329509,0.008425634,2.390815851,0.100030096,0.039381194,0.188617329,1.057374806,0.603541253,0.340371072,0.200911391,0.034979781
144,65.09933653,0.007182791,3.879827387,0.406441257,0.126660815,0.452701587,1.477962895,0.801032856,0.45477625,0.6933538,0.175359325
145,63.02345965,0.005467275,6.009285872,0.396743132,0.088992751,0.350506292,2.128781965,1.891497614,0.767281248,0.871218753,0.163267906
146,63.33686523,0.005973136,5.557447922,0.501625784,0.119341141,0.405972175,1.867713276,1.480646904,0.763568986,1.039546581,0.211134595
147,63.9310356,0.006111097,4.980009097,0.482240823,0.12885167,0.207411456,2.020132831,1.256125333,0.458777779,1.037561698,0.168976136
148,66.38029144,0.007497117,3.041369296,0.076505186,0.0196734,0.099929049,1.249835572,1.052296331,0.50402399,0.135284355,0.047567778
149,66.40830121,0.007718283,2.922098317,0.134486673,0.048063247,0.246549421,1.190455055,0.799256464,0.427705661,0.258131718,0.051928499
150,65.44159951,0.006701584,3.893815716,0.138487752,0.041400591,0.409804797,1.50488015,1.189774684,0.517354387,0.272001698,0.057583696
151,66.05781586,0.007725868,3.159942355,0.22814693,0.069952944,0.168478215,1.240321302,0.928573015,0.522392458,0.300177366,0.137310888
152,67.11171308,0.008414967,2.330304233,0.055676769,0.017636451,0.070189337,1.115201485,0.712597331,0.331910006,0.100406073,0.031797829
153,65.48864378,0.007435485,3.680742917,0.272129139,0.071239263,0.298444539,1.233651751,1.106692341,0.707017248,0.334937038,0.182622373
154,65.05694791,0.006544658,4.085473434,0.293579389,0.086493594,0.1077276,1.625147212,1.251684353,0.539652067,0.561262203,0.11591949
155,66.05329878,0.007107884,3.359267062,0.078911932,0.024206088,0.265760136,1.358795473,1.076637705,0.477025718,0.181048029,0.028837649
156,63.45064329,0.005356574,5.552115857,0.405512553,0.109028947,0.414780062,1.781295978,1.469988551,0.773693338,1.112357929,0.088636659
157,64.23496369,0.005813365,4.819557234,0.359793296,0.105932266,0.233159052,1.83118613,1.313161926,0.53914585,0.902904276,0.081964201
158,62.67586058,0.005300156,6.22169162,0.506002188,0.117376889,0.277043754,2.231167937,1.724444731,0.700990848,1.288044351,0.160700649
159,65.6803411,0.007197963,3.531867158,0.224422244,0.07365943,0.405115192,1.226312855,0.898134294,0.567445824,0.434858994,0.086802215
160,65.60506945,0.007111677,3.647095454,0.208281957,0.057027772,0.164333747,1.354014433,1.19904073,0.626769706,0.302936839,0.123324761
161,64.48942689,0.005993759,4.720981005,0.24962936,0.063188625,0.130018695,1.615800278,1.659774453,0.799269379,0.5161182,0.106409792
162,66.04878375,0.007516081,3.288954674,0.142225423,0.036193587,0.200824585,1.312156428,1.090128684,0.53815752,0.147687458,0.110365537
163,62.13970635,0.005842522,6.842618238,0.451745892,0.077963602,0.669042336,2.535863616,2.269821142,0.775766419,0.592124726,0.304117511
164,65.17539361,0.006944795,3.992469996,0.27641274,0.071585316,0.218756966,1.307351483,1.275233552,0.772753219,0.418374776,0.161151426
165,66.57898533,0.008165355,2.725601693,0.149629878,0.055181361,0.340055854,1.181586226,0.645622544,0.337671245,0.220665826,0.076352394
166,64.29877638,0.006729556,4.50232247,0.557521853,0.156836863,0.322344859,1.632199246,0.914097819,0.54681143,1.086869116,0.218532634
167,65.7659058,0.006796166,3.366331054,0.280746028,0.108876808,0.052271239,1.514848619,0.834856323,0.304477834,0.65987704,0.039031949
168,66.32536792,0.007851267,2.980671293,0.152923727,0.051413933,0.352077429,1.170852791,0.765072916,0.444025152,0.248643005,0.077314212
169,65.86869367,0.007241816,3.382362833,0.204148845,0.065342871,0.143906591,1.490704367,1.035252568,0.407553379,0.304945928,0.102121387
170,64.91861394,0.006630233,4.182309115,0.326946503,0.090451917,0.195318465,1.284115628,1.254156899,0.821470637,0.627247487,0.143682025
171,62.55009285,0.005459927,6.299566709,0.53802478,0.126870874,0.619860999,2.345602129,1.469316402,0.537892358,1.32689482,0.174860337
173,65.9150272,0.00728164,3.406628205,0.150418407,0.042172486,0.266379069,1.118882886,1.049295668,0.678235162,0.29383542,0.074484202
174,65.97252566,0.007564202,3.316016317,0.182054733,0.04717371,0.16621435,1.206519349,1.091905076,0.634604026,0.216773517,0.131433919
175,63.99359613,0.006483026,5.080785697,0.364000025,0.078594915,0.398425959,1.841011168,1.64599541,0.734642266,0.460710895,0.23839332
176,66.19322571,0.007132774,3.238212803,0.070593567,0.018973986,0.044120372,1.333432056,1.182140999,0.525574397,0.152944979,0.033902256
177,64.99695864,0.007051704,3.923690364,0.456150643,0.138703094,0.238074805,1.449611328,0.87420101,0.534372941,0.82743028,0.186592581
179,65.91092176,0.007709038,3.314232968,0.219092508,0.065671954,0.397283314,1.260592912,0.875569312,0.505663171,0.275124259,0.138101555
180,66.14111636,0.007160746,3.243319274,0.103611453,0.032943637,0.086805297,1.372397532,1.108012632,0.472590288,0.203513525,0.043387849
181,65.68959467,0.00716762,3.47345909,0.268238631,0.085578602,0.128147614,1.176852996,1.000300851,0.656154432,0.512003197,0.107846491
182,66.74532372,0.008047068,2.621028407,0.107752554,0.04197612,0.186943831,1.282848653,0.725056081,0.269090813,0.157089029,0.051651283
183,64.87359593,0.006526168,4.178808118,0.353677163,0.110151835,0.342722025,1.484943214,1.022025648,0.571206298,0.757910935,0.11038
184,66.33543847,0.007712594,3.000791055,0.138732074,0.042071032,0.138340958,1.282346644,0.954162664,0.449593546,0.176347243,0.089581602
185,65.53738875,0.006821056,3.513217517,0.33496676,0.128882559,0.296873402,1.306658232,0.677645614,0.42266759,0.809372678,0.045791188
186,65.39518177,0.006665079,3.746397271,0.282017094,0.094532454,0.163486285,1.213690909,1.02140151,0.678283373,0.669535194,0.067095805
187,66.01029518,0.007186347,3.260394296,0.17948304,0.065541777,0.21074417,1.333790634,0.905960022,0.43187593,0.37802354,0.050065128
188,66.5196373,0.008112731,2.765888783,0.174063135,0.055315005,0.12570045,1.100428072,0.80897861,0.496069142,0.234712509,0.108302089
189,65.67851556,0.00719251,3.499519115,0.247024455,0.086938406,0.428515605,1.445738686,0.808714552,0.363464237,0.453086036,0.087761622
190,64.62241054,0.006731452,4.286276419,0.469981814,0.139238486,0.301848668,1.883514613,0.917434555,0.295799818,0.887678765,0.177572228
191,63.97398842,0.005819528,5.080764752,0.364808284,0.099363542,0.33079567,1.94115005,1.415232462,0.551584339,0.842002232,0.113060554
192,63.50770001,0.006633551,5.184688174,0.650475968,0.165312039,0.632715753,1.712114329,0.932653916,0.646439875,1.260764302,0.279650226
193,65.70848285,0.007257936,3.340554565,0.347881357,0.120274062,0.096315435,1.240990648,0.806193995,0.523549526,0.673504962,0.118132393
194,66.94347151,0.008491771,2.414744252,0.115826565,0.039765715,0.134203632,1.077144407,0.669195748,0.372793104,0.161407362,0.071282965
195,66.97159086,0.008263019,2.397723321,0.102210136,0.042759634,0.112574318,1.091774389,0.640557425,0.332078746,0.220738443,0.025735245
196,65.77278493,0.007276425,3.339882448,0.299152805,0.104479716,0.194187723,1.279023821,0.813131527,0.482425373,0.571114005,0.103418274
197,65.79882558,0.007142256,3.36363258,0.267121264,0.090292679,0.067054206,1.240153966,0.954426723,0.570145651,0.531852035,0.092086185
198,65.89150901,0.007359155,3.333571329,0.212447149,0.073809061,0.375382622,1.24789925,0.823333779,0.482112,0.404843678,0.078473696
199,66.37998109,0.007740802,2.946470412,0.139604253,0.047985547,0.245978098,1.202837948,0.819204868,0.434744496,0.243705001,0.063680028
200,66.06569057,0.007398979,3.296184151,0.127603157,0.031733585,0.104332992,1.398478105,1.170738481,0.506530973,0.116103599,0.103620762
201,63.66654742,0.005702664,5.232467867,0.493456575,0.130365746,0.120034836,1.697627778,1.395188036,0.791676115,1.227941101,0.140545873
202,65.98385744,0.00721906,3.248364039,0.208069576,0.075170137,0.18484184,1.244982816,0.881066526,0.493875533,0.443597323,0.058465965
203,66.19528681,0.007225223,3.179255313,0.109421223,0.035769266,0.093230294,1.281772919,1.055248983,0.507880886,0.241122232,0.037913445
204,64.64142147,0.006389866,4.516686985,0.279397236,0.075509472,0.428825071,1.54850714,1.32509256,0.687081917,0.527180296,0.124645754
205,65.9653232,0.007638398,3.190202636,0.266421123,0.091633678,0.292493264,1.312897489,0.76495289,0.405986515,0.413872478,0.123630904
206,65.5599241,0.007255328,3.604291312,0.269514313,0.081477748,0.272163708,1.385115098,1.006518224,0.529816982,0.410677299,0.139427369
207,66.64292991,0.008231018,2.662578319,0.155796148,0.053234648,0.198170316,1.134588602,0.717014306,0.403431322,0.209373773,0.092857567
208,64.89040596,0.006737141,4.05988644,0.434163626,0.134440742,0.206856797,1.678623144,0.921755509,0.396633542,0.856017448,0.150400283
209,66.32270759,0.007660206,3.002809595,0.140026615,0.047417825,0.254024222,1.125169954,0.833151947,0.507181824,0.283281648,0.054693423
210,63.90649851,0.005920748,4.993704497,0.480544799,0.134591452,0.342388753,1.552140731,1.172658905,0.758024698,1.168491411,0.132991147
211,66.17156698,0.007458478,3.101226184,0.172471361,0.06740946,0.344769263,1.33395797,0.748869339,0.330728832,0.342900779,0.048011323
212,65.55564903,0.007318383,3.686737283,0.21793118,0.055749387,0.287660828,1.426351568,1.173979197,0.575497094,0.223248595,0.15892647
213,66.61406094,0.007719468,2.645588908,0.179236094,0.079002426,0.061852791,1.191459073,0.66693925,0.323858736,0.401479057,0.025433924
214,63.20830523,0.006201887,5.601033505,0.57357511,0.131991863,0.455820055,1.694783059,1.424186438,0.90357431,1.122669642,0.265476074
215,65.28511728,0.006907816,3.946959818,0.223163601,0.061101016,0.323225648,1.537271696,1.219925341,0.54922199,0.317315143,0.128726849
216,66.23126961,0.007593833,3.046745106,0.173188476,0.063174764,0.25942798,1.395752912,0.810803013,0.31096224,0.269798961,0.076096874
217,63.31286501,0.005584614,5.659642014,0.432656732,0.108433679,0.542518229,1.671905783,1.499130985,0.894631133,1.051455884,0.140803804
218,66.22878557,0.007550927,3.142263263,0.108563559,0.033662566,0.320130985,1.319447514,0.921899541,0.416303712,0.164481511,0.062045661
219,64.22692133,0.005970054,4.696530717,0.465081274,0.133805964,0.092059083,1.423913238,1.214836217,0.81799943,1.147722749,0.120880443
221,63.62072752,0.006245741,5.481574123,0.342831498,0.069000324,0.524473963,1.975740875,1.814920707,0.755156131,0.411282447,0.234941384
222,64.08274413,0.006329419,4.87174178,0.451755765,0.112981624,0.200743647,1.512410288,1.418089092,0.873177149,0.867321603,0.204695962
