# Simulation number	U	Np	Pu	Am	Cm	MA	Pu-238	Pu-239	Pu-240	Pu-241	Pu-242
1	5.996270E+07	8.639684E+02	1.120165E+07	1.750645E+05	0.000000E+00	1.759285E+05	8.796914E+05	5.668276E+06	2.328257E+06	5.056297E+05	1.819795E+06
2	5.996473E+07	1.982368E+03	1.110199E+07	2.715758E+05	0.000000E+00	2.735582E+05	9.199442E+05	6.058144E+06	3.085129E+06	1.594008E+05	8.793688E+05
3	5.993455E+07	8.432980E+02	1.129514E+07	1.097365E+05	0.000000E+00	1.105798E+05	1.665510E+05	8.398855E+06	1.801830E+06	2.326111E+04	9.046402E+05
4	5.992907E+07	1.182305E+03	1.112497E+07	2.850474E+05	0.000000E+00	2.862297E+05	1.925222E+04	6.631038E+06	2.974532E+06	1.041746E+06	4.583976E+05
5	5.994795E+07	1.479461E+03	1.119003E+07	2.008102E+05	0.000000E+00	2.022897E+05	5.217550E+05	9.335025E+06	2.505628E+05	1.045831E+05	9.781068E+05
6	5.996656E+07	4.938606E+03	1.051663E+07	8.521424E+05	0.000000E+00	8.570810E+05	9.889909E+05	5.557597E+06	1.490076E+06	1.747591E+06	7.323738E+05
7	5.994065E+07	1.585475E+03	1.103711E+07	3.609221E+05	0.000000E+00	3.625076E+05	3.351725E+05	6.790911E+06	1.112122E+06	1.232939E+06	1.565966E+06
8	5.997088E+07	5.957153E+03	1.054453E+07	8.188974E+05	0.000000E+00	8.248546E+05	1.089478E+06	6.835769E+06	1.815841E+06	5.004977E+05	3.029439E+05
9	5.993420E+07	1.472034E+03	1.110378E+07	3.008236E+05	0.000000E+00	3.022956E+05	1.556772E+05	6.822586E+06	2.377874E+06	8.810908E+05	8.665482E+05
10	5.993587E+07	5.510591E+03	1.051761E+07	8.812775E+05	0.000000E+00	8.867881E+05	2.100888E+05	7.643657E+06	1.240648E+06	1.414962E+06	8.256029E+03
11	5.996761E+07	2.341010E+03	1.087513E+07	4.951973E+05	0.000000E+00	4.975383E+05	1.030933E+06	6.566105E+06	7.783169E+03	1.530368E+06	1.739938E+06
12	5.995041E+07	3.321204E+03	1.090552E+07	4.810181E+05	0.000000E+00	4.843393E+05	5.845331E+05	8.404064E+06	4.519012E+05	4.672549E+05	9.977704E+05
13	5.993232E+07	5.104584E+03	1.054981E+07	8.530339E+05	0.000000E+00	8.581385E+05	1.197779E+05	6.310989E+06	1.639195E+06	1.592897E+06	8.869520E+05
14	5.994314E+07	6.116737E+03	1.049982E+07	8.911988E+05	0.000000E+00	8.973155E+05	3.938031E+05	7.182156E+06	1.331919E+06	9.012945E+05	6.906462E+05
15	5.993896E+07	1.964672E+03	1.097849E+07	4.208509E+05	0.000000E+00	4.228156E+05	2.949895E+05	7.852603E+06	6.464850E+05	1.324813E+06	8.596018E+05
16	5.996383E+07	4.675062E+03	1.065702E+07	7.147538E+05	0.000000E+00	7.194289E+05	9.047154E+05	5.212401E+06	2.742816E+06	9.473454E+05	8.497390E+05
17	5.995374E+07	1.846235E+03	1.112614E+07	2.585500E+05	0.000000E+00	2.603962E+05	6.494289E+05	5.317451E+06	2.733346E+06	1.917122E+05	2.234198E+06
18	5.994604E+07	7.313642E+03	1.025107E+07	1.135848E+06	0.000000E+00	1.143162E+06	4.792607E+05	6.570688E+06	5.710656E+05	1.618098E+06	1.011955E+06
19	5.996231E+07	1.245803E+03	1.120446E+07	1.722485E+05	0.000000E+00	1.734943E+05	8.647796E+05	7.526825E+06	2.252934E+06	1.123186E+05	4.476067E+05
20	5.996239E+07	1.771076E+03	1.098848E+07	3.876309E+05	0.000000E+00	3.894020E+05	8.906330E+05	7.809775E+06	3.496290E+05	1.257726E+06	6.807143E+05
21	5.995929E+07	4.815147E+03	1.058542E+07	7.907436E+05	0.000000E+00	7.955587E+05	8.190931E+05	6.876264E+06	8.805313E+04	1.395493E+06	1.406512E+06
22	5.994182E+07	3.413376E+03	1.079461E+07	6.004230E+05	0.000000E+00	6.038364E+05	3.515754E+05	5.189568E+06	2.553053E+06	1.295975E+06	1.404441E+06
23	5.994577E+07	6.865651E+03	1.035811E+07	1.029524E+06	0.000000E+00	1.036390E+06	4.429636E+05	5.138935E+06	3.228125E+06	1.236324E+06	3.117584E+05
24	5.994351E+07	7.741107E+03	1.017665E+07	1.212365E+06	0.000000E+00	1.220106E+06	4.036001E+05	6.439434E+06	1.520969E+06	1.790583E+06	2.206818E+04
25	5.994614E+07	3.876321E+03	1.074064E+07	6.496074E+05	0.000000E+00	6.534837E+05	4.707295E+05	7.281940E+06	1.244035E+06	1.223692E+06	5.202408E+05
26	5.992830E+07	3.162191E+03	1.084048E+07	5.683211E+05	0.000000E+00	5.714833E+05	2.881826E+04	8.005478E+06	3.722228E+05	1.293540E+06	1.140425E+06
27	5.996028E+07	1.950369E+03	1.110825E+07	2.697900E+05	0.000000E+00	2.717404E+05	8.197881E+05	6.282199E+06	2.083522E+06	1.768115E+05	1.745931E+06
28	5.995359E+07	2.229575E+03	1.095583E+07	4.286250E+05	0.000000E+00	4.308546E+05	6.576501E+05	7.198284E+06	1.325041E+06	1.126773E+06	6.480837E+05
29	5.996602E+07	5.278946E+03	1.048642E+07	8.825533E+05	0.000000E+00	8.878322E+05	9.874414E+05	6.699692E+06	2.421488E+05	1.650242E+06	9.069001E+05
30	5.994201E+07	5.940971E+03	1.048373E+07	9.085813E+05	0.000000E+00	9.145223E+05	3.623817E+05	6.712954E+06	1.708111E+06	1.206076E+06	4.942073E+05
31	5.995639E+07	4.963193E+03	1.071241E+07	6.665130E+05	0.000000E+00	6.714762E+05	7.178520E+05	5.356779E+06	2.618810E+06	2.958421E+05	1.723123E+06
32	5.995141E+07	6.636509E+03	1.035769E+07	1.024533E+06	0.000000E+00	1.031170E+06	6.070249E+05	6.436170E+06	1.200613E+06	1.420964E+06	6.929229E+05
33	5.995985E+07	2.606122E+03	1.086886E+07	5.089431E+05	0.000000E+00	5.115492E+05	8.243227E+05	6.153203E+06	9.650445E+05	1.378057E+06	1.548236E+06
34	5.993775E+07	2.989258E+03	1.094295E+07	4.565673E+05	0.000000E+00	4.595566E+05	2.664402E+05	9.559818E+06	4.823263E+04	6.022771E+05	4.661869E+05
35	5.996445E+07	6.309249E+03	1.048895E+07	8.805544E+05	0.000000E+00	8.868636E+05	9.454020E+05	6.929603E+06	3.804140E+05	6.320432E+05	1.601485E+06
36	5.994980E+07	6.463514E+03	1.047721E+07	9.067942E+05	0.000000E+00	9.132577E+05	5.532415E+05	6.602804E+06	2.181753E+06	6.837228E+05	4.556841E+05
37	5.996973E+07	6.238693E+03	1.038233E+07	9.819762E+05	0.000000E+00	9.882149E+05	1.053034E+06	3.121127E+06	3.359812E+06	1.480830E+06	1.367523E+06
38	5.994476E+07	2.861552E+03	1.089672E+07	4.959223E+05	0.000000E+00	4.987839E+05	4.358345E+05	7.041790E+06	1.295540E+06	1.029286E+06	1.094270E+06
39	5.993765E+07	4.134998E+03	1.084225E+07	5.562344E+05	0.000000E+00	5.603694E+05	2.317323E+05	6.455733E+06	3.321261E+06	2.537115E+05	5.798169E+05
40	5.995618E+07	6.047520E+03	1.059552E+07	7.825172E+05	0.000000E+00	7.885647E+05	7.287595E+05	8.777948E+06	4.837524E+05	1.327128E+05	4.723484E+05
41	5.994846E+07	5.012115E+03	1.072846E+07	6.583403E+05	0.000000E+00	6.633524E+05	5.122287E+05	7.274307E+06	2.534844E+06	1.853631E+05	2.217166E+05
42	5.993525E+07	3.813779E+03	1.069462E+07	7.065844E+05	0.000000E+00	7.103982E+05	1.859156E+05	5.252030E+06	2.523907E+06	1.722819E+06	1.009949E+06
43	5.993433E+07	4.027128E+03	1.081916E+07	5.827502E+05	0.000000E+00	5.867773E+05	1.651454E+05	8.152801E+06	1.565372E+06	5.626576E+05	3.731818E+05
44	5.995567E+07	4.535824E+03	1.068067E+07	6.993928E+05	0.000000E+00	7.039286E+05	7.114651E+05	7.846802E+06	1.069839E+06	9.647164E+05	8.784998E+04
45	5.994728E+07	5.854960E+03	1.044376E+07	9.433679E+05	0.000000E+00	9.492229E+05	4.928914E+05	6.120826E+06	2.066664E+06	1.557362E+06	2.060170E+05
46	5.995587E+07	2.639832E+03	1.094807E+07	4.336930E+05	0.000000E+00	4.363328E+05	7.212025E+05	6.338794E+06	1.095996E+06	7.664401E+05	2.025633E+06
47	5.995406E+07	3.536333E+03	1.080166E+07	5.810198E+05	0.000000E+00	5.845561E+05	6.677931E+05	4.758064E+06	2.099732E+06	1.027052E+06	2.249016E+06
48	5.992875E+07	6.286137E+03	1.045637E+07	9.488622E+05	0.000000E+00	9.551483E+05	4.343678E+04	6.698540E+06	4.553163E+05	1.179946E+06	2.079134E+06
49	5.996153E+07	3.231047E+03	1.095842E+07	4.170844E+05	0.000000E+00	4.203154E+05	8.377102E+05	5.307111E+06	3.401059E+06	6.324425E+04	1.349299E+06
50	5.995318E+07	6.077454E+03	1.059168E+07	7.893367E+05	0.000000E+00	7.954142E+05	6.501901E+05	6.442238E+06	1.292359E+06	1.560313E+05	2.050861E+06
51	5.993021E+07	6.215728E+03	1.044093E+07	9.629124E+05	0.000000E+00	9.691281E+05	6.628535E+04	4.889465E+06	2.026154E+06	1.356549E+06	2.102475E+06
52	5.993760E+07	4.904835E+03	1.063082E+07	7.669517E+05	0.000000E+00	7.718565E+05	2.388048E+05	4.225474E+06	3.271510E+06	1.125194E+06	1.769835E+06
53	5.992743E+07	1.520289E+03	1.118207E+07	2.292558E+05	0.000000E+00	2.307761E+05	4.898110E+03	8.966912E+06	2.277439E+05	2.836409E+05	1.698878E+06
54	5.995534E+07	5.560639E+03	1.045385E+07	9.255214E+05	0.000000E+00	9.310820E+05	7.021910E+05	4.924125E+06	1.926689E+06	1.706563E+06	1.194277E+06
55	5.995945E+07	4.058889E+03	1.078565E+07	5.911050E+05	0.000000E+00	5.951639E+05	7.896679E+05	4.484476E+06	3.285603E+06	5.960072E+05	1.629897E+06
56	5.994706E+07	3.129372E+03	1.076845E+07	6.216436E+05	0.000000E+00	6.247730E+05	4.843092E+05	5.512573E+06	2.425673E+06	1.735628E+06	6.102636E+05
57	5.997034E+07	5.004011E+03	1.071849E+07	6.464355E+05	0.000000E+00	6.514395E+05	1.072634E+06	5.752434E+06	2.333891E+06	1.016817E+05	1.457845E+06
58	5.996418E+07	4.568853E+03	1.075560E+07	6.159232E+05	0.000000E+00	6.204921E+05	9.057269E+05	5.564431E+06	3.246498E+06	2.905402E+05	7.484068E+05
59	5.994337E+07	4.478986E+02	1.133354E+07	6.291249E+04	0.000000E+00	6.336039E+04	3.866531E+05	7.091469E+06	2.347869E+06	4.795547E+04	1.459589E+06
60	5.992954E+07	1.734367E+03	1.103413E+07	3.748537E+05	0.000000E+00	3.765881E+05	5.510679E+04	8.839722E+06	5.499064E+05	1.195177E+06	3.942228E+05
61	5.996613E+07	4.540695E+03	1.067814E+07	6.914597E+05	0.000000E+00	6.960004E+05	9.760224E+05	5.942645E+06	1.541412E+06	8.989561E+05	1.319101E+06
62	5.995518E+07	5.367278E+03	1.051263E+07	8.670975E+05	0.000000E+00	8.724648E+05	6.955893E+05	5.398847E+06	1.983440E+06	1.445383E+06	9.893699E+05
63	5.993027E+07	6.460683E+03	1.035638E+07	1.047165E+06	0.000000E+00	1.053626E+06	7.433990E+04	6.861943E+06	1.003388E+06	1.766175E+06	6.505318E+05
64	5.993660E+07	4.588831E+03	1.063797E+07	7.611124E+05	0.000000E+00	7.657012E+05	2.406200E+05	6.974207E+06	4.779816E+05	1.387855E+06	1.557302E+06
65	5.995654E+07	7.281633E+03	1.029006E+07	1.086387E+06	0.000000E+00	1.093669E+06	7.245615E+05	5.616526E+06	2.350526E+06	1.268810E+06	3.296390E+05
66	5.994296E+07	4.048432E+03	1.087042E+07	5.228381E+05	0.000000E+00	5.268865E+05	3.969695E+05	8.327846E+06	4.402093E+05	8.109183E+04	1.624299E+06
67	5.995179E+07	5.450939E+03	1.046849E+07	9.145335E+05	0.000000E+00	9.199844E+05	6.241910E+05	5.028089E+06	9.912420E+05	1.728820E+06	2.096152E+06
68	5.996093E+07	5.547279E+03	1.053727E+07	8.365250E+05	0.000000E+00	8.420723E+05	8.266564E+05	4.239408E+06	3.387700E+06	1.035027E+06	1.048475E+06
69	5.995246E+07	3.482233E+03	1.071729E+07	6.670437E+05	0.000000E+00	6.705259E+05	6.389120E+05	7.927325E+06	4.005107E+05	1.741385E+06	9.152397E+03
70	5.996813E+07	2.636234E+03	1.099174E+07	3.777673E+05	0.000000E+00	3.804035E+05	1.024343E+06	7.713098E+06	1.216079E+06	3.397742E+05	6.984501E+05
71	5.994563E+07	4.834094E+03	1.056247E+07	8.273433E+05	0.000000E+00	8.321774E+05	4.508862E+05	5.468096E+06	2.240794E+06	1.658567E+06	7.441231E+05
72	5.993322E+07	5.993559E+03	1.052127E+07	8.797845E+05	0.000000E+00	8.857781E+05	1.367356E+05	5.786148E+06	2.217196E+06	9.333915E+05	1.447798E+06
73	5.993307E+07	7.396593E+03	1.025618E+07	1.143629E+06	0.000000E+00	1.151026E+06	1.309445E+05	3.521714E+06	2.962617E+06	1.597207E+06	2.043696E+06
74	5.995534E+07	5.690236E+03	1.048246E+07	8.967705E+05	0.000000E+00	9.024607E+05	7.082175E+05	6.943946E+06	9.385566E+05	1.359277E+06	5.324641E+05
75	5.994906E+07	2.350899E+03	1.106932E+07	3.195412E+05	0.000000E+00	3.218921E+05	5.302902E+05	6.221737E+06	2.579905E+06	1.696383E+05	1.567746E+06
76	5.995298E+07	6.907443E+03	1.041496E+07	9.654191E+05	0.000000E+00	9.723265E+05	6.295203E+05	4.939876E+06	2.920683E+06	7.025630E+05	1.222319E+06
77	5.995382E+07	3.683179E+03	1.089854E+07	4.842174E+05	0.000000E+00	4.879006E+05	6.562092E+05	8.455770E+06	1.569655E+06	1.395428E+05	7.736732E+04
78	5.993282E+07	2.394203E+03	1.107233E+07	3.327280E+05	0.000000E+00	3.351222E+05	1.141130E+05	7.375214E+06	2.746108E+06	2.289181E+05	6.079754E+05
79	5.994600E+07	3.998758E+03	1.087335E+07	5.169315E+05	0.000000E+00	5.209303E+05	4.674788E+05	8.898387E+06	7.493429E+05	8.400940E+04	6.741287E+05
80	5.994715E+07	2.251565E+03	1.097645E+07	4.144249E+05	0.000000E+00	4.166765E+05	4.859274E+05	4.578276E+06	2.712792E+06	9.961457E+05	2.203306E+06
81	5.993249E+07	4.628072E+03	1.078188E+07	6.212696E+05	0.000000E+00	6.258977E+05	1.354080E+05	9.136987E+06	3.793680E+03	2.740237E+05	1.231667E+06
82	5.993084E+07	4.776508E+03	1.078770E+07	6.169564E+05	0.000000E+00	6.217329E+05	6.789623E+04	8.051090E+06	2.279878E+06	9.637053E+04	2.924632E+05
83	5.995646E+07	7.054024E+03	1.039250E+07	9.842615E+05	0.000000E+00	9.913155E+05	7.176312E+05	5.490634E+06	2.750494E+06	7.048231E+05	7.289146E+05
84	5.996266E+07	2.014790E+03	1.101194E+07	3.636531E+05	0.000000E+00	3.656679E+05	8.765206E+05	6.173455E+06	2.391268E+06	8.360811E+05	7.346177E+05
85	5.993159E+07	6.312309E+02	1.128156E+07	1.264815E+05	0.000000E+00	1.271127E+05	9.926889E+04	7.967021E+06	1.349281E+06	3.584706E+05	1.507517E+06
86	5.994613E+07	1.777353E+03	1.112623E+07	2.661405E+05	0.000000E+00	2.679179E+05	4.779442E+05	9.512568E+06	3.157792E+04	3.171406E+05	7.869994E+05
87	5.993458E+07	2.246851E+03	1.093949E+07	4.639493E+05	0.000000E+00	4.661962E+05	1.878084E+05	6.307855E+06	7.853613E+05	1.381663E+06	2.276802E+06
88	5.997033E+07	4.869994E+03	1.061114E+07	7.539372E+05	0.000000E+00	7.588072E+05	1.091026E+06	7.131654E+06	5.302815E+05	1.059002E+06	7.991731E+05
89	5.993903E+07	3.429661E+03	1.075066E+07	6.471552E+05	0.000000E+00	6.505849E+05	2.847954E+05	6.006729E+06	2.049285E+06	1.639577E+06	7.702739E+05
90	5.994770E+07	1.808319E+03	1.102358E+07	3.671765E+05	0.000000E+00	3.689848E+05	4.945979E+05	4.806457E+06	3.074696E+06	1.064146E+06	1.583685E+06
91	5.996372E+07	4.616539E+03	1.068756E+07	6.843778E+05	0.000000E+00	6.889943E+05	9.065593E+05	5.986662E+06	2.188936E+06	7.706620E+05	8.347361E+05
92	5.994614E+07	5.279705E+03	1.063442E+07	7.544275E+05	0.000000E+00	7.597072E+05	4.715047E+05	8.205612E+06	9.279448E+05	6.639899E+05	3.653674E+05
93	5.994845E+07	5.763846E+03	1.043781E+07	9.482554E+05	0.000000E+00	9.540192E+05	5.206985E+05	3.163702E+06	2.947882E+06	1.683640E+06	2.121884E+06
94	5.994413E+07	6.369104E+03	1.035133E+07	1.038446E+06	0.000000E+00	1.044815E+06	4.181583E+05	3.893882E+06	2.259115E+06	1.788251E+06	1.991920E+06
95	5.996095E+07	3.682261E+03	1.086471E+07	5.109247E+05	0.000000E+00	5.146070E+05	8.460833E+05	6.102395E+06	1.417070E+06	3.458613E+05	2.153302E+06
96	5.993856E+07	6.027481E+03	1.040205E+07	9.936313E+05	0.000000E+00	9.996588E+05	2.771699E+05	4.941729E+06	2.018701E+06	1.776057E+06	1.388392E+06
97	5.995790E+07	5.916874E+03	1.040743E+07	9.690094E+05	0.000000E+00	9.749263E+05	7.728914E+05	6.322840E+06	1.108345E+06	1.694328E+06	5.090299E+05
98	5.994855E+07	6.437245E+02	1.125158E+07	1.394970E+05	0.000000E+00	1.401407E+05	5.194016E+05	8.385981E+06	1.857264E+06	4.464226E+05	4.251385E+04
99	5.996532E+07	4.736053E+03	1.074754E+07	6.226856E+05	0.000000E+00	6.274217E+05	9.349355E+05	5.640622E+06	3.187986E+06	1.798146E+05	8.041783E+05
100	5.995307E+07	2.941712E+03	1.092273E+07	4.615308E+05	0.000000E+00	4.644725E+05	6.448869E+05	6.420723E+06	1.502815E+06	6.867332E+05	1.667571E+06
101	5.993793E+07	5.916994E+03	1.049624E+07	9.001908E+05	0.000000E+00	9.061078E+05	2.602142E+05	5.419062E+06	1.954306E+06	1.164875E+06	1.697779E+06
102	5.993106E+07	3.172312E+03	1.091754E+07	4.884925E+05	0.000000E+00	4.916648E+05	7.656976E+04	7.644411E+06	2.163320E+06	6.696665E+05	3.635724E+05
103	5.996698E+07	4.170628E+03	1.066612E+07	7.030026E+05	0.000000E+00	7.071732E+05	9.969450E+05	6.770028E+06	1.371925E+06	1.347937E+06	1.792813E+05
104	5.993315E+07	2.650454E+03	1.096558E+07	4.388803E+05	0.000000E+00	4.415308E+05	1.225760E+05	6.809407E+06	2.905659E+06	7.960003E+05	3.319422E+05
105	5.995214E+07	3.499040E+03	1.081134E+07	5.732901E+05	0.000000E+00	5.767891E+05	6.121320E+05	5.614175E+06	2.445648E+06	1.003896E+06	1.135487E+06
106	5.992892E+07	4.808282E+03	1.072756E+07	6.789796E+05	0.000000E+00	6.837879E+05	4.531127E+04	8.955778E+06	4.130601E+04	5.425113E+05	1.142657E+06
107	5.995372E+07	6.970406E+03	1.037697E+07	1.002603E+06	0.000000E+00	1.009573E+06	6.622396E+05	5.804893E+06	1.611499E+06	9.272915E+05	1.371050E+06
108	5.995691E+07	1.961154E+03	1.094113E+07	4.402688E+05	0.000000E+00	4.422300E+05	7.370949E+05	5.707729E+06	2.072984E+06	1.477596E+06	9.457261E+05
109	5.993459E+07	9.770873E+02	1.125180E+07	1.528991E+05	0.000000E+00	1.538762E+05	1.846989E+05	8.526157E+06	4.364977E+05	2.250368E+05	1.879414E+06
110	5.994935E+07	3.201607E+03	1.083458E+07	5.531418E+05	0.000000E+00	5.563434E+05	5.683192E+05	6.778356E+06	6.902888E+04	1.138420E+06	2.280454E+06
111	5.992731E+07	2.626586E+03	1.090402E+07	5.063166E+05	0.000000E+00	5.089432E+05	3.654636E+03	8.199097E+06	3.211639E+05	1.337936E+06	1.042169E+06
112	5.995779E+07	1.609553E+03	1.105763E+07	3.232459E+05	0.000000E+00	3.248555E+05	7.568816E+05	6.837305E+06	1.954532E+06	9.197072E+05	5.892011E+05
113	5.995335E+07	6.968606E+02	1.125646E+07	1.297647E+05	0.000000E+00	1.304616E+05	6.328984E+05	7.554251E+06	2.682325E+06	3.198450E+05	6.713743E+04
114	5.997021E+07	2.992342E+03	1.097679E+07	3.902882E+05	0.000000E+00	3.932805E+05	1.063347E+06	5.169365E+06	2.927757E+06	8.947208E+04	1.726844E+06
115	5.993259E+07	3.610785E+03	1.084819E+07	5.558724E+05	0.000000E+00	5.594832E+05	1.087283E+05	7.103003E+06	2.805719E+06	7.611593E+05	6.958429E+04
116	5.993055E+07	6.096658E+02	1.126990E+07	1.392108E+05	0.000000E+00	1.398205E+05	6.365916E+04	8.477797E+06	1.930069E+06	4.773716E+05	3.210026E+05
117	5.995654E+07	5.599820E+03	1.060158E+07	7.765538E+05	0.000000E+00	7.821536E+05	7.123165E+05	6.201666E+06	3.135431E+06	5.226029E+05	2.955979E+04
118	5.992918E+07	2.450413E+03	1.099314E+07	4.154986E+05	0.000000E+00	4.179490E+05	3.449859E+04	7.832000E+06	1.679536E+06	8.108599E+05	6.362499E+05
119	5.995205E+07	9.769616E+02	1.119860E+07	1.886412E+05	0.000000E+00	1.896182E+05	6.035331E+05	5.639668E+06	2.915711E+06	5.000786E+05	1.539608E+06
120	5.995144E+07	7.175931E+03	1.031522E+07	1.066434E+06	0.000000E+00	1.073610E+06	5.959414E+05	5.520488E+06	2.357259E+06	1.218216E+06	6.233182E+05
121	5.994774E+07	6.778131E+03	1.030507E+07	1.080685E+06	0.000000E+00	1.087463E+06	5.287756E+05	6.587173E+06	5.469289E+04	1.715024E+06	1.419402E+06
122	5.995072E+07	4.390295E+03	1.066675E+07	7.184114E+05	0.000000E+00	7.228017E+05	5.897777E+05	7.418971E+06	9.359961E+05	1.252650E+06	4.693507E+05
123	5.995520E+07	4.483454E+03	1.078418E+07	5.964158E+05	0.000000E+00	6.008993E+05	6.786060E+05	5.576623E+06	3.267828E+06	2.236153E+05	1.037503E+06
124	5.997042E+07	2.840255E+03	1.089843E+07	4.685812E+05	0.000000E+00	4.714215E+05	1.093311E+06	7.005128E+06	5.648202E+05	8.397141E+05	1.395453E+06
125	5.996669E+07	4.917075E+03	1.061438E+07	7.542866E+05	0.000000E+00	7.592037E+05	9.784302E+05	4.060769E+06	2.939423E+06	1.015864E+06	1.619890E+06
126	5.993399E+07	5.276685E+03	1.061076E+07	7.902447E+05	0.000000E+00	7.955214E+05	1.669086E+05	6.085085E+06	1.303160E+06	9.424268E+05	2.113176E+06
127	5.994620E+07	6.138544E+03	1.059588E+07	7.920501E+05	0.000000E+00	7.981886E+05	4.719188E+05	8.229150E+06	9.847813E+05	1.174414E+05	7.925920E+05
128	5.995728E+07	6.656630E+03	1.039817E+07	9.781601E+05	0.000000E+00	9.848167E+05	7.428485E+05	6.060547E+06	2.273430E+06	1.044687E+06	2.766556E+05
129	5.995112E+07	1.333984E+03	1.108919E+07	2.986237E+05	0.000000E+00	2.999577E+05	5.781920E+05	5.883946E+06	2.996847E+06	9.985374E+05	6.316723E+05
130	5.992843E+07	5.827993E+03	1.049562E+07	9.103923E+05	0.000000E+00	9.162203E+05	4.006981E+04	6.893278E+06	3.589634E+04	1.329969E+06	2.196411E+06
131	5.996677E+07	1.713239E+03	1.113757E+07	2.342182E+05	0.000000E+00	2.359314E+05	9.907852E+05	6.229054E+06	1.555615E+06	1.340062E+05	2.228105E+06
132	5.995527E+07	9.775113E+02	1.118031E+07	2.037182E+05	0.000000E+00	2.046957E+05	7.024579E+05	9.134032E+06	6.363927E+05	6.155124E+05	9.191055E+04
133	5.994478E+07	1.961172E+03	1.112912E+07	2.644093E+05	0.000000E+00	2.663705E+05	4.378613E+05	7.446311E+06	1.048159E+06	1.249090E+05	2.071877E+06
134	5.994692E+07	2.354281E+03	1.088933E+07	5.016601E+05	0.000000E+00	5.040144E+05	4.905409E+05	7.111161E+06	1.281616E+06	1.567161E+06	4.388493E+05
135	5.995749E+07	4.664521E+03	1.075458E+07	6.235355E+05	0.000000E+00	6.282000E+05	7.454046E+05	5.750403E+06	2.536452E+06	2.559755E+05	1.466345E+06
136	5.994223E+07	3.453731E+03	1.076289E+07	6.317010E+05	0.000000E+00	6.351547E+05	3.722618E+05	5.609736E+06	1.643861E+06	1.497279E+06	1.639748E+06
137	5.994158E+07	9.378917E+02	1.120831E+07	1.894393E+05	0.000000E+00	1.903772E+05	3.486004E+05	7.840291E+06	1.598171E+06	5.442457E+05	8.770066E+05
138	5.992955E+07	1.181910E+03	1.115513E+07	2.544008E+05	0.000000E+00	2.555827E+05	4.973101E+04	8.944461E+06	9.523705E+05	8.064037E+05	4.021628E+05
139	5.994112E+07	7.480964E+03	1.029080E+07	1.100867E+06	0.000000E+00	1.108348E+06	3.556266E+05	6.159524E+06	6.193927E+05	1.186171E+06	1.970088E+06
140	5.993952E+07	2.060735E+03	1.093569E+07	4.629990E+05	0.000000E+00	4.650597E+05	2.940347E+05	4.615831E+06	2.655028E+06	1.555506E+06	1.815292E+06
141	5.995441E+07	3.410123E+03	1.088843E+07	4.940199E+05	0.000000E+00	4.974300E+05	6.632660E+05	6.666417E+06	2.639854E+06	4.807131E+05	4.381798E+05
142	5.993777E+07	4.002476E+03	1.084137E+07	5.571263E+05	0.000000E+00	5.611288E+05	2.590273E+05	8.822691E+06	8.449057E+05	3.895592E+05	5.251832E+05
143	5.992772E+07	4.941209E+03	1.066059E+07	7.470214E+05	0.000000E+00	7.519626E+05	6.120309E+03	6.122862E+06	1.475204E+06	9.364911E+05	2.119911E+06
144	5.993348E+07	2.893673E+03	1.095101E+07	4.528860E+05	0.000000E+00	4.557797E+05	1.273129E+05	6.899020E+06	3.156544E+06	6.669966E+05	1.011336E+05
145	5.995032E+07	5.835467E+03	1.062388E+07	7.602471E+05	0.000000E+00	7.660826E+05	5.662243E+05	5.640155E+06	2.403606E+06	1.678133E+05	1.846077E+06
146	5.995854E+07	2.791554E+03	1.082409E+07	5.548451E+05	0.000000E+00	5.576367E+05	7.987793E+05	6.191146E+06	3.575428E+05	1.550638E+06	1.925988E+06
147	5.996034E+07	2.746010E+03	1.093032E+07	4.468727E+05	0.000000E+00	4.496187E+05	8.103690E+05	5.489068E+06	3.139352E+06	7.644688E+05	7.270617E+05
148	5.996178E+07	4.843435E+03	1.072903E+07	6.446216E+05	0.000000E+00	6.494650E+05	8.617864E+05	8.018614E+06	1.321489E+06	2.440224E+05	2.831150E+05
149	5.996565E+07	1.290561E+03	1.111384E+07	2.594904E+05	0.000000E+00	2.607810E+05	9.657876E+05	8.583853E+06	6.880508E+05	7.397994E+05	1.363515E+05
150	5.996368E+07	1.420017E+03	1.109240E+07	2.827778E+05	0.000000E+00	2.841978E+05	9.096190E+05	5.578916E+06	1.959087E+06	7.929164E+05	1.851860E+06
151	5.993679E+07	4.957642E+03	1.072532E+07	6.731993E+05	0.000000E+00	6.781569E+05	2.281671E+05	5.764795E+06	2.105993E+06	3.526743E+05	2.273692E+06
152	5.993873E+07	1.558798E+03	1.118869E+07	2.112897E+05	0.000000E+00	2.128485E+05	2.745900E+05	8.874382E+06	1.487726E+06	1.079677E+05	4.440247E+05
153	5.994994E+07	4.547180E+03	1.058341E+07	8.023665E+05	0.000000E+00	8.069137E+05	5.605572E+05	4.065299E+06	2.565449E+06	1.745712E+06	1.646391E+06
154	5.993649E+07	7.127871E+03	1.032432E+07	1.072330E+06	0.000000E+00	1.079458E+06	2.396327E+05	6.724991E+06	4.114066E+05	1.310349E+06	1.637937E+06
